"ExtensionID","ExtensionName","Status","ChromeStoreURL"
"flpfhaclifodhjecdjjdnefcjfnflcpp","Harry Potter Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/flpfhaclifodhjecdjjdnefcjfnflcpp"
"ofjldebeoclakifeeoidicojpinkllmc","Hollow Knight Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/ofjldebeoclakifeeoidicojpinkllmc"
"ajcnllagebcaahcdfbappndlmhmpdhif","Avengers Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/ajcnllagebcaahcdfbappndlmhmpdhif"
"oodhphlpepgoccemjgpedagbpfelcpdl","Hunter x Hunter Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/oodhphlpepgoccemjgpedagbpfelcpdl"
"amomkbhjghmegifhopipecfioeelecal","Plants vs. Zombies Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/amomkbhjghmegifhopipecfioeelecal"
"boolceociingmfoakiaiikpcnbcbajfm","Blackpink Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/boolceociingmfoakiaiikpcnbcbajfm"
"gdnhbhfhnjcfhakagfdeeblhnpjcfjnn","Winnie The Pooh Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/gdnhbhfhnjcfhakagfdeeblhnpjcfjnn"
"fphiegmeigkjnjcpmdoecllfeanfbbhd","Squid Game Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/fphiegmeigkjnjcpmdoecllfeanfbbhd"
"mifleipondphdoaampgmkndjjkfldmdb","Super Mario Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/mifleipondphdoaampgmkndjjkfldmdb"
"maookbdaoegaepgklgimmakbcfjdmbhf","Peppa Pig Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/maookbdaoegaepgklgimmakbcfjdmbhf"
"jddgindpdjdojhenigliipabmmckcofh","Supercars Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/jddgindpdjdojhenigliipabmmckcofh"
"cfolcjmcamelkgoopjddgbnaobjihmcn","Kirby Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/cfolcjmcamelkgoopjddgbnaobjihmcn"
"mpidnflfogjjkchbllplcpcdoifgnjjj","Spy x Family Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/mpidnflfogjjkchbllplcpcdoifgnjjj"
"jalaoplogcelljfhlodnagfepednmilm","Dragon Ball Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/jalaoplogcelljfhlodnagfepednmilm"
"dbjpighofpljmoogjcbhghlnlnepmmie","Back to School Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/dbjpighofpljmoogjcbhghlnlnepmmie"
"iglgfjffffiknjajejaleginhanmejec","Naruto Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/iglgfjffffiknjajejaleginhanmejec"
"mndeiclfmpndlbkklepkbjihkaccfcod","The Simpsons Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/mndeiclfmpndlbkklepkbjihkaccfcod"
"cbgmidgpbbholpniehflilcaacpfipob","Musicians and Singers Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/cbgmidgpbbholpniehflilcaacpfipob"
"knomkjoeecgejmhchcpmpbdpfdphpgpo","Poppy Playtime Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/knomkjoeecgejmhchcpmpbdpfdphpgpo"
"ondkeebbobdggpgmdnimdcnopmckcabp","Five Nights at Freddy&#39;s Cursor ★ Custom Cursor for Chrome™","Active","https://chrome.google.com/webstore/detail/ondkeebbobdggpgmdnimdcnopmckcabp"
"anjoapnmcdcndaagonoiindlklkpmnmh","Brawl Stars Cursor - Custom Game Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/anjoapnmcdcndaagonoiindlklkpmnmh"
"bjacehmkdjdpknkoomphgfheehjfiocg","Black Clover Cursor - Custom Anime Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/bjacehmkdjdpknkoomphgfheehjfiocg"
"cckgnbinkelflpimkpadlfmlpbbagmka","Bleach Cursor - Custom Anime Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/cckgnbinkelflpimkpadlfmlpbbagmka"
"dnfjhcohapaoibiekobphekeohdamjbi","Futurama Cursor - Custom Cartoon Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/dnfjhcohapaoibiekobphekeohdamjbi"
"eioefbifkjcfpkdoghnndbceebbohkcd","Genshin Impact Cursor - Custom Cartoon Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/eioefbifkjcfpkdoghnndbceebbohkcd"
"fghhbjaoopknmbecbghnhnfapabhjhhg","Dragon Ball Cursor - Custom Anime Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/fghhbjaoopknmbecbghnhnfapabhjhhg"
"gkjbbfabeojdbiabpjapkjnhpnjcckbf","FNaF Cursor - Custom Horror Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/gkjbbfabeojdbiabpjapkjnhpnjcckbf"
"gmjibldihkpammmelmkiipjcgmhdcdmb","Dogs Cursor - Custom Dog Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/gmjibldihkpammmelmkiipjcgmhdcdmb"
"hdholjicmhinpjcbmigoffjedkiihlen","Death Note Cursor - Custom Anime Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/hdholjicmhinpjcbmigoffjedkiihlen"
"igmblpicjfppdloljoabpiafdlokogno","Fallout Cursor - Custom Game Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/igmblpicjfppdloljoabpiafdlokogno"
"kfnphajojmcoapplfnocpegelkfjndom","Country Flags Cursor - Custom Flag Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/kfnphajojmcoapplfnocpegelkfjndom"
"lmjdeimbphcbnfekpgblhlbhknpmaoij","Hello Kitty Cursor - Custom Kawaii Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/lmjdeimbphcbnfekpgblhlbhknpmaoij"
"lmnmfkhppclolpdbdabpbhladegibpgi","Demon Slayer Cursor - Custom Anime Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/lmnmfkhppclolpdbdabpbhladegibpgi"
"mopjnoodlnbnkocfefcgnmnlbcmgekof","Spiderman Cursor - Custom Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/mopjnoodlnbnkocfefcgnmnlbcmgekof"
"pgmiigclfodaendfgenfbmcfoefaljda","Attack on Titan Cursor - Custom Anime Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/pgmiigclfodaendfgenfbmcfoefaljda"
"bhcjjbencodlgfoneipfnnpclempbdka","One Piece Cursor - Custom Anime Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/bhcjjbencodlgfoneipfnnpclempbdka"
"dnhfbehomlbkmimmmoejcmcondhmebia","Kirby Cursor Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/dnhfbehomlbkmimmmoejcmcondhmebia"
"emekjhecncemhkpoolndbgmbgfieipdh","Pac-Man Cursor - Custom Retro Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/emekjhecncemhkpoolndbgmbgfieipdh"
"ijccagageaijbfaefkflkepnglppdlnn","Hunter x Hunter Cursor - Custom Anime Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/ijccagageaijbfaefkflkepnglppdlnn"
"kdnnogfmhpppncphlnecbdhoggpmbkci","Squid Game Cursor - Custom Korean Drama Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/kdnnogfmhpppncphlnecbdhoggpmbkci"
"kkchefmfekacdingcjkgiaggdafolhen","Minecraft Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/kkchefmfekacdingcjkgiaggdafolhen"
"lalcmboamkljbdlgjfockddndpfoiojc","One-Punch Man Cursor - Custom Anime Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/lalcmboamkljbdlgjfockddndpfoiojc"
"lmjocpjbilfamkogfpbecdhefcjffbhb","Soccer Cursor - Custom Sports Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/lmjocpjbilfamkogfpbecdhefcjffbhb"
"ngiaafjblpmiejfgcnfcolhdccmaafjg","Basketball Cursor - Custom Sports Game Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/ngiaafjblpmiejfgcnfcolhdccmaafjg"
"nmkpckdpiikfoenhfaognmajhpgpoobg","Animal Crossing Cursor - Custom Nintendo Game Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/nmkpckdpiikfoenhfaognmajhpgpoobg"
"oalffknmmdipjphppkcnffnfefljelcm","My Hero Academia Cursor - Custom Anime Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/oalffknmmdipjphppkcnffnfefljelcm"
"oiogpbnonmepejhhmhgnmmpofkknomcf","Spy x Family Cursor - Custom Anime Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/oiogpbnonmepejhhmhgnmmpofkknomcf"
"pdneeecaedebfjpkhdobgcnapfdffbbk","South Park Cursor - Custom Cartoon Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/pdneeecaedebfjpkhdobgcnapfdffbbk"
"pgbhmanighehdihhgcfodcecphdakkgn","Naruto Cursor - Custom Anime Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/pgbhmanighehdihhgcfodcecphdakkgn"
"pjfjconkopcckeanlhklghfogkdhnegk","Pusheen Cursor - Custom Kawaii Cursor for Chrome","Active","https://chrome.google.com/webstore/detail/pjfjconkopcckeanlhklghfogkdhnegk"
"eppiocemhmnlbhjplcgkofciiegomcon","Urban VPN Proxy","Active","https://chrome.google.com/webstore/detail/eppiocemhmnlbhjplcgkofciiegomcon"
